Location,Date,Temperature,Temperature dew point,Temperature average in time interval,Temperature maximum in time interval,Temperature minimum in time interval,Humidity relative,Humidity relative average in time interval,Wind direction,Wind direction average in time interval,Wind direction maximum gust in time interval,Wind speed,Wind speed average in time interval,Wind speed maximum in time interval,Air pressure,Air pressure average in time interval,Precipitation total in time interval,Solar radiation,Solar radiation average in time interval
Dobliče Črnomelj,01.04.2025 12:30,10.9,3.8,10.6,11,10.2,62,65,23,28,28,23,17,37,998.4,998.6,0,247,160
Dobliče Črnomelj,01.04.2025 13:00,11,4.2,11.1,11.2,10.9,63,62,26,28,45,19,20,33,998.4,998.5,0,125,148
Dobliče Črnomelj,01.04.2025 13:30,10.6,4.2,10.7,11,10.6,65,64,12,12,360,20,20,33,998.2,998.3,0,62,85
Dobliče Črnomelj,01.04.2025 14:00,10.6,4.3,10.7,10.8,10.6,65,64,6,7,17,17,18,33,998.1,998.1,0,53,53
Dobliče Črnomelj,01.04.2025 14:30,10.6,4.4,10.7,10.9,10.5,66,65,21,15,6,17,18,30,998,998,0,38,44
Dobliče Črnomelj,01.04.2025 15:00,10.8,4.4,10.7,10.9,10.5,64,64,19,20,23,14,16,27,998,998,0,46,46
Dobliče Črnomelj,01.04.2025 15:30,10.8,4.1,10.8,10.9,10.7,63,64,23,24,39,14,14,24,998,998,0,34,42
Dobliče Črnomelj,01.04.2025 16:00,10.8,4.4,10.8,11,10.7,65,63,21,22,23,13,15,30,997.9,998,0,38,31
Dobliče Črnomelj,01.04.2025 16:30,10.8,4.2,10.8,11,10.6,64,64,22,20,17,15,14,26,997.9,997.9,0,30,37
Dobliče Črnomelj,01.04.2025 17:00,10.7,4.5,10.8,11,10.6,65,64,33,32,39,11,12,22,997.9,997.9,0,22,26
Dobliče Črnomelj,01.04.2025 17:30,10.9,4.4,10.9,11,10.7,64,64,15,20,6,15,14,24,997.7,997.8,0,32,29
Dobliče Črnomelj,01.04.2025 18:00,10.7,4.3,11,11.2,10.7,65,64,25,21,6,13,13,29,997.8,997.7,0,6,15
Dobliče Črnomelj,01.04.2025 18:30,11,4.6,10.8,11,10.6,64,64,34,29,11,8,9,16,997.8,997.8,0,7,6
Dobliče Črnomelj,01.04.2025 19:00,11.1,4.1,11,11.2,10.8,62,63,32,32,45,16,13,28,997.8,997.8,0,4,6
